Task/Step,Start Date,End Date,Status,Duration
FNMPDataWarehouse,3/16/2019 5:48:50 am,3/16/2019 5:49:50 am,Completed,0:01:00
FNMPDataWarehouse,3/16/2019 5:43:09 am,3/16/2019 5:44:07 am,Completed,0:00:58
FNMPDataWarehouse,3/16/2019 5:28:07 am,3/16/2019 5:29:13 am,Completed,0:01:06
FNMPDataWarehouse,3/16/2019 2:25:27 am,3/16/2019 2:25:55 am,Completed,0:00:28
FNMPDataWarehouse,3/16/2019 2:10:25 am,3/16/2019 2:13:07 am,Completed,0:02:42
FNMPDataWarehouse,3/13/2019 5:57:59 am,3/13/2019 5:58:07 am,Completed,0:00:08
FNMPDataWarehouse,3/13/2019 5:47:34 am,3/13/2019 5:48:36 am,Completed,0:01:02
FNMPDataWarehouse,3/13/2019 5:42:58 am,3/13/2019 5:43:56 am,Completed,0:00:58
FNMPDataWarehouse,3/13/2019 5:27:56 am,3/13/2019 5:28:51 am,Completed,0:00:55
FNMPDataWarehouse,3/13/2019 2:25:11 am,3/13/2019 2:25:42 am,Completed,0:00:31
FNMPDataWarehouse,3/13/2019 2:09:55 am,3/13/2019 2:13:15 am,Completed,0:03:20
FNMPDataWarehouse,3/12/2019 8:13:17 pm,3/12/2019 8:13:25 pm,Completed,0:00:08
FNMPDataWarehouse,3/12/2019 8:12:02 pm,3/12/2019 8:13:03 pm,Completed,0:01:01
FNMPDataWarehouse,3/12/2019 1:34:41 pm,3/12/2019 1:34:48 pm,Completed,0:00:07
FNMPDataWarehouse,3/12/2019 1:33:30 pm,3/12/2019 1:34:27 pm,Completed,0:00:57
FNMPDataWarehouse,3/12/2019 7:40:38 am,3/12/2019 7:40:46 am,Completed,0:00:08
FNMPDataWarehouse,3/12/2019 7:38:38 am,3/12/2019 7:40:26 am,Completed,0:01:48
FNMPDataWarehouse,3/12/2019 7:25:02 am,3/12/2019 7:25:31 am,Completed,0:00:29
FNMPDataWarehouse,3/12/2019 7:10:05 am,3/12/2019 7:11:35 am,Completed,0:01:30
FNMPDataWarehouse,3/12/2019 6:51:04 am,3/12/2019 6:52:30 am,Completed,0:01:26
FNMPDataWarehouse,3/12/2019 6:35:57 am,3/12/2019 6:37:19 am,Completed,0:01:22
FNMPDataWarehouse,3/12/2019 2:24:42 am,3/12/2019 2:26:30 am,Completed,0:01:48
FNMPDataWarehouse,3/12/2019 2:09:16 am,3/12/2019 2:11:33 am,Completed,0:02:17
FNMPDataWarehouse,3/11/2019 7:55:36 am,3/11/2019 7:56:04 am,Completed,0:00:28
FNMPDataWarehouse,3/11/2019 7:40:30 am,3/11/2019 7:41:56 am,Completed,0:01:26
FNMPDataWarehouse,3/11/2019 7:27:29 am,3/11/2019 7:27:39 am,Completed,0:00:10
FNMPDataWarehouse,3/11/2019 7:25:19 am,3/11/2019 7:27:18 am,Completed,0:01:59
FNMPDataWarehouse,3/11/2019 7:10:27 am,3/11/2019 7:10:55 am,Completed,0:00:28
FNMPDataWarehouse,3/11/2019 6:55:26 am,3/11/2019 6:56:26 am,Completed,0:01:00
FNMPDataWarehouse,3/11/2019 6:36:24 am,3/11/2019 6:38:00 am,Completed,0:01:36
FNMPDataWarehouse,3/11/2019 6:21:22 am,3/11/2019 6:22:25 am,Completed,0:01:03
FNMPDataWarehouse,3/11/2019 2:24:33 am,3/11/2019 2:25:01 am,Completed,0:00:28
FNMPDataWarehouse,3/11/2019 2:09:22 am,3/11/2019 2:12:32 am,Completed,0:03:10
FNMPDataWarehouse,3/10/2019 6:12:26 am,3/10/2019 6:12:33 am,Completed,0:00:07
FNMPDataWarehouse,3/10/2019 6:09:05 am,3/10/2019 6:09:58 am,Completed,0:00:53
FNMPDataWarehouse,3/10/2019 6:07:00 am,3/10/2019 6:08:52 am,Completed,0:01:52
FNMPDataWarehouse,3/10/2019 5:57:24 am,3/10/2019 5:58:18 am,Completed,0:00:54
FNMPDataWarehouse,3/10/2019 5:39:27 am,3/10/2019 5:40:24 am,Completed,0:00:57
FNMPDataWarehouse,3/10/2019 5:24:26 am,3/10/2019 5:25:29 am,Completed,0:01:03
FNMPDataWarehouse,3/10/2019 2:25:26 am,3/10/2019 2:25:49 am,Completed,0:00:23
FNMPDataWarehouse,3/10/2019 2:10:14 am,3/10/2019 2:13:08 am,Completed,0:02:54
FNMPDataWarehouse,3/9/2019 7:30:46 am,3/9/2019 7:30:54 am,Completed,0:00:08
FNMPDataWarehouse,3/9/2019 7:25:46 am,3/9/2019 7:26:58 am,Completed,0:01:12
FNMPDataWarehouse,3/9/2019 7:15:46 am,3/9/2019 7:16:18 am,Completed,0:00:32
FNMPDataWarehouse,3/9/2019 7:00:45 am,3/9/2019 7:01:47 am,Completed,0:01:02
FNMPDataWarehouse,3/9/2019 6:43:42 am,3/9/2019 6:44:12 am,Completed,0:00:30
FNMPDataWarehouse,3/9/2019 6:28:41 am,3/9/2019 6:29:40 am,Completed,0:00:59
FNMPDataWarehouse,3/9/2019 2:25:25 am,3/9/2019 2:25:55 am,Completed,0:00:30
FNMPDataWarehouse,3/9/2019 2:10:11 am,3/9/2019 2:13:01 am,Completed,0:02:50
