Task/Step,Start Date,End Date,Status,Duration,Average Time
Reconciliation for IBM PVU,4/5/2019 6:57:25 pm,4/5/2019 6:57:27 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/5/2019 6:27:28 pm,4/5/2019 6:27:30 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/5/2019 5:57:25 pm,4/5/2019 5:57:26 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 5:27:22 pm,4/5/2019 5:27:23 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 4:57:25 pm,4/5/2019 4:57:26 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 4:27:22 pm,4/5/2019 4:27:23 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 3:57:19 pm,4/5/2019 3:58:34 pm,Completed,0:01:15,
Reconciliation for IBM PVU,4/5/2019 3:27:16 pm,4/5/2019 3:27:17 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 2:57:22 pm,4/5/2019 2:57:24 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/5/2019 2:27:15 pm,4/5/2019 2:27:17 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/5/2019 1:57:12 pm,4/5/2019 1:57:13 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 1:27:15 pm,4/5/2019 1:27:16 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 12:57:12 pm,4/5/2019 12:57:13 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 12:27:09 pm,4/5/2019 12:27:10 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 11:57:11 am,4/5/2019 11:57:12 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 11:27:08 am,4/5/2019 11:27:10 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/5/2019 10:57:06 am,4/5/2019 10:57:07 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 10:27:08 am,4/5/2019 10:27:09 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 9:57:06 am,4/5/2019 9:57:07 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 9:27:06 am,4/5/2019 9:27:07 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 8:57:03 am,4/5/2019 8:57:04 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 8:27:01 am,4/5/2019 8:27:02 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 7:56:58 am,4/5/2019 7:56:59 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 7:27:00 am,4/5/2019 7:27:01 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 6:56:56 am,4/5/2019 6:56:57 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 6:26:54 am,4/5/2019 6:26:55 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 5:57:20 am,4/5/2019 5:57:40 am,Completed,0:00:20,
Reconciliation for IBM PVU,4/5/2019 5:27:14 am,4/5/2019 5:28:10 am,Completed,0:00:56,
Reconciliation for IBM PVU,4/5/2019 4:56:42 am,4/5/2019 4:57:24 am,Completed,0:00:42,
Reconciliation for IBM PVU,4/5/2019 4:26:35 am,4/5/2019 4:27:31 am,Completed,0:00:56,
Reconciliation for IBM PVU,4/5/2019 3:56:17 am,4/5/2019 3:57:17 am,Completed,0:01:00,
Reconciliation for IBM PVU,4/5/2019 3:25:27 am,4/5/2019 3:25:28 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 2:55:24 am,4/5/2019 2:55:26 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/5/2019 2:25:21 am,4/5/2019 2:25:23 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/5/2019 1:55:24 am,4/5/2019 1:55:25 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 1:25:20 am,4/5/2019 1:25:21 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 12:55:47 am,4/5/2019 12:56:38 am,Completed,0:00:51,
Reconciliation for IBM PVU,4/5/2019 12:25:05 am,4/5/2019 12:25:06 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 11:55:02 pm,4/4/2019 11:55:03 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 11:24:59 pm,4/4/2019 11:25:00 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 10:55:01 pm,4/4/2019 10:55:02 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 10:24:58 pm,4/4/2019 10:25:00 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/4/2019 9:54:56 pm,4/4/2019 9:54:57 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 9:24:56 pm,4/4/2019 9:24:57 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 8:54:53 pm,4/4/2019 8:54:54 pm,Completed,0:00:01,
