"Task/Step","Task type","Start date","End date","Status","Summary","Logs"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 9:02:11 pm","4/7/2019 9:02:12 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 9:02:11 pm","4/7/2019 9:02:12 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 9:02:04 pm","4/7/2019 9:02:11 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 9:02:10 pm","4/7/2019 9:02:11 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 8:32:14 pm","4/7/2019 8:32:15 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 8:32:14 pm","4/7/2019 8:32:15 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 8:32:06 pm","4/7/2019 8:32:14 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 8:32:12 pm","4/7/2019 8:32:13 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 8:02:11 pm","4/7/2019 8:02:12 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 8:02:11 pm","4/7/2019 8:02:12 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 8:02:04 pm","4/7/2019 8:02:11 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 8:02:10 pm","4/7/2019 8:02:11 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 7:32:08 pm","4/7/2019 7:32:09 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 7:32:08 pm","4/7/2019 7:32:09 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 7:32:01 pm","4/7/2019 7:32:08 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 7:32:07 pm","4/7/2019 7:32:08 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 7:02:11 pm","4/7/2019 7:02:12 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 7:02:11 pm","4/7/2019 7:02:12 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 7:02:03 pm","4/7/2019 7:02:10 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 7:02:09 pm","4/7/2019 7:02:10 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 6:32:08 pm","4/7/2019 6:32:09 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 6:32:08 pm","4/7/2019 6:32:09 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 6:32:00 pm","4/7/2019 6:32:08 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 6:32:06 pm","4/7/2019 6:32:07 pm","Completed","Import completed","Yes"
