"Task/Step","Task type","Start date","End date","Status","Summary","Logs"
"FlexNet Manager Suite","PVU Import","3/26/2019 11:38:54 pm","3/26/2019 11:39:01 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 11:39:00 pm","3/26/2019 11:39:01 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 11:09:04 pm","3/26/2019 11:09:05 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 11:09:04 pm","3/26/2019 11:09:05 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 11:08:56 pm","3/26/2019 11:09:03 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 11:09:02 pm","3/26/2019 11:09:03 pm","Completed","Import completed","Yes"
"VMWare Introspection","Discovery and inventory rule","3/26/2019 11:04:15 pm","3/26/2019 11:04:29 pm","In progress","Beacon(s) with schedule pending: 1
Total beacon(s) reported: 1
  Beacon(s) in progress: 0
  Beacon(s) completed: 1
  Beacon(s) completed with error: 0
  Beacon(s) timed out: 0","No"
"vwn04584 - Parent Beacon","Discovery and inventory rule","","","Scheduled","","No"
"uwn2008 - Child Beacon","Discovery and inventory rule","3/26/2019 11:04:15 pm","3/26/2019 11:04:29 pm","Completed","","No"
"Performing discovery","Discovery and inventory rule","3/26/2019 11:04:27 pm","3/26/2019 11:04:27 pm","Completed","Total discovered devices: 0
Oracle database servers discovered: -
Oracle virtual servers discovered: -
VMware virtual servers discovered: 0
Microsoft Hyper-V servers discovered: -
Microsoft SQL servers discovered: -
XenDesktop devices discovered: -","Yes"
"Gathering VMware inventory","Discovery and inventory rule","3/26/2019 11:04:15 pm","3/26/2019 11:04:29 pm","Completed","Devices discovered: 72
Devices skipped: 72
Devices inventoried: 0
Devices failed to be inventoried: 0","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 10:39:01 pm","3/26/2019 10:39:02 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 10:39:01 pm","3/26/2019 10:39:02 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 10:38:54 pm","3/26/2019 10:39:01 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 10:39:00 pm","3/26/2019 10:39:00 pm","Completed","Import completed","Yes"
"Specific_Location","Business import","3/26/2019 10:16:16 pm","3/26/2019 10:16:24 pm","Completed","Location - Matched = 1, Created = 0, Updated = 10938, Rejected = 0","No"
"Gathering business data","Business import","3/26/2019 10:16:11 pm","3/26/2019 10:16:12 pm","Completed","Business data saved as E:\ProgramData\Flexera Software\Beacon\IntermediateData\B[S=Specific_Location]_20190326221612.zip
File size: 163.57 KB","Yes"
"Uploading to Application Server","Business import","3/26/2019 10:16:13 pm","3/26/2019 10:16:13 pm","Completed","Uploaded B[S=Specific_Location]_20190326221612.zip successfully","No"
"Importing into application server","Business import","3/26/2019 10:16:16 pm","3/26/2019 10:16:24 pm","Completed","Location - Matched = 1, Created = 0, Updated = 10938, Rejected = 0","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 10:09:03 pm","3/26/2019 10:09:04 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 10:09:03 pm","3/26/2019 10:09:04 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 10:08:56 pm","3/26/2019 10:09:03 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 10:09:02 pm","3/26/2019 10:09:03 pm","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","3/26/2019 10:02:55 pm","3/26/2019 10:03:03 pm","Completed","Partial export completed with no changes","No"
"Exporting","Data warehouse export","3/26/2019 10:03:02 pm","3/26/2019 10:03:03 pm","Completed","Partial export completed with no changes","Yes"
"FNMPDataWarehouse","Data warehouse export","3/26/2019 9:52:19 pm","3/26/2019 9:52:31 pm","Completed","Export completed successfully","No"
"Exporting","Data warehouse export","3/26/2019 9:52:25 pm","3/26/2019 9:52:31 pm","Completed","Export completed successfully","Yes"
"Specific_Location","Business import","3/26/2019 9:47:59 pm","3/26/2019 9:48:05 pm","Completed","Location - Matched = 1, Created = 0, Updated = 1, Rejected = 0","No"
"Gathering business data","Business import","3/26/2019 9:47:54 pm","3/26/2019 9:47:55 pm","Completed","Business data saved as E:\ProgramData\Flexera Software\Beacon\IntermediateData\B[S=Specific_Location]_20190326214755.zip
File size: 162.68 KB","Yes"
"Uploading to Application Server","Business import","3/26/2019 9:47:56 pm","3/26/2019 9:47:56 pm","Completed","Uploaded B[S=Specific_Location]_20190326214755.zip successfully","No"
"Importing into application server","Business import","3/26/2019 9:47:59 pm","3/26/2019 9:48:05 pm","Completed","Location - Matched = 1, Created = 0, Updated = 1, Rejected = 0","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 9:39:00 pm","3/26/2019 9:39:02 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 9:39:00 pm","3/26/2019 9:39:02 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 9:38:53 pm","3/26/2019 9:39:00 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 9:38:59 pm","3/26/2019 9:39:00 pm","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","3/26/2019 9:29:52 pm","3/26/2019 9:30:00 pm","Completed","Partial export completed with no changes","No"
"Exporting","Data warehouse export","3/26/2019 9:29:58 pm","3/26/2019 9:30:00 pm","Completed","Partial export completed with no changes","Yes"
"FNMPDataWarehouse","Data warehouse export","3/26/2019 9:14:51 pm","3/26/2019 9:14:59 pm","Completed","Partial export completed with no changes","No"
"Exporting","Data warehouse export","3/26/2019 9:14:57 pm","3/26/2019 9:14:58 pm","Completed","Partial export completed with no changes","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 9:08:58 pm","3/26/2019 9:08:59 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 9:08:58 pm","3/26/2019 9:08:59 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 9:08:50 pm","3/26/2019 9:08:57 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 9:08:56 pm","3/26/2019 9:08:57 pm","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","3/26/2019 8:59:49 pm","3/26/2019 8:59:59 pm","Completed","Partial export completed with no changes","No"
"Exporting","Data warehouse export","3/26/2019 8:59:56 pm","3/26/2019 8:59:59 pm","Completed","Partial export completed with no changes","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 8:39:01 pm","3/26/2019 8:39:05 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 8:39:02 pm","3/26/2019 8:39:05 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 8:38:52 pm","3/26/2019 8:39:01 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 8:38:59 pm","3/26/2019 8:39:00 pm","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","3/26/2019 8:18:45 pm","3/26/2019 8:18:54 pm","Completed","Partial export completed with no changes","No"
"Exporting","Data warehouse export","3/26/2019 8:18:52 pm","3/26/2019 8:18:53 pm","Completed","Partial export completed with no changes","Yes"
"Specific_Location","Business import","3/26/2019 8:11:50 pm","3/26/2019 8:11:57 pm","Completed","Location - Matched = 1, Created = 0, Updated = 1, Rejected = 0","No"
"Gathering business data","Business import","3/26/2019 8:11:45 pm","3/26/2019 8:11:46 pm","Completed","Business data saved as E:\ProgramData\Flexera Software\Beacon\IntermediateData\B[S=Specific_Location]_20190326201146.zip
File size: 162.69 KB","Yes"
"Uploading to Application Server","Business import","3/26/2019 8:11:47 pm","3/26/2019 8:11:47 pm","Completed","Uploaded B[S=Specific_Location]_20190326201146.zip successfully","No"
"Importing into application server","Business import","3/26/2019 8:11:50 pm","3/26/2019 8:11:57 pm","Completed","Location - Matched = 1, Created = 0, Updated = 1, Rejected = 0","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 8:08:58 pm","3/26/2019 8:09:00 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 8:08:58 pm","3/26/2019 8:09:00 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 8:08:50 pm","3/26/2019 8:08:57 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 8:08:56 pm","3/26/2019 8:08:57 pm","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","3/26/2019 8:03:39 pm","3/26/2019 8:04:13 pm","Completed","Partial export of applications, licenses, purchases summary completed successfully","No"
"Exporting","Data warehouse export","3/26/2019 8:03:46 pm","3/26/2019 8:04:13 pm","Completed","Partial export of applications, licenses, purchases summary completed successfully","Yes"
"Specific_Location","Business import","3/26/2019 8:01:49 pm","3/26/2019 8:01:56 pm","Completed","Location - Matched = 1, Created = 0, Updated = 1, Rejected = 0","No"
"Gathering business data","Business import","3/26/2019 8:01:43 pm","3/26/2019 8:01:45 pm","Completed","Business data saved as E:\ProgramData\Flexera Software\Beacon\IntermediateData\B[S=Specific_Location]_20190326200145.zip
File size: 162.47 KB","Yes"
"Uploading to Application Server","Business import","3/26/2019 8:01:45 pm","3/26/2019 8:01:45 pm","Completed","Uploaded B[S=Specific_Location]_20190326200145.zip successfully","No"
"Importing into application server","Business import","3/26/2019 8:01:49 pm","3/26/2019 8:01:56 pm","Completed","Location - Matched = 1, Created = 0, Updated = 1, Rejected = 0","Yes"
"Specific_Location","Business import","3/26/2019 7:59:38 pm","3/26/2019 7:59:47 pm","Completed","Location - Matched = 0, Created = 10938, Updated = 10938, Rejected = 0","No"
"Gathering business data","Business import","3/26/2019 7:59:32 pm","3/26/2019 7:59:33 pm","Completed","Business data saved as E:\ProgramData\Flexera Software\Beacon\IntermediateData\B[S=Specific_Location]_20190326195933.zip
File size: 162.48 KB","Yes"
"Uploading to Application Server","Business import","3/26/2019 7:59:33 pm","3/26/2019 7:59:35 pm","Completed","Uploaded B[S=Specific_Location]_20190326195933.zip successfully","No"
"Importing into application server","Business import","3/26/2019 7:59:38 pm","3/26/2019 7:59:47 pm","Completed","Location - Matched = 0, Created = 10938, Updated = 10938, Rejected = 0","Yes"
"Specific_Location","Business import","3/26/2019 7:58:58 pm","3/26/2019 7:59:03 pm","Completed","Location - Matched = 0, Created = 0, Updated = 0, Rejected = 0","No"
"Gathering business data","Business import","3/26/2019 7:58:50 pm","3/26/2019 7:58:50 pm","Completed","Business data saved as E:\ProgramData\Flexera Software\Beacon\IntermediateData\B[S=Specific_Location]_20190326195850.zip
File size: 162.48 KB","Yes"
"Uploading to Application Server","Business import","3/26/2019 7:58:52 pm","3/26/2019 7:58:52 pm","Completed","Uploaded B[S=Specific_Location]_20190326195850.zip successfully","No"
"Importing into application server","Business import","3/26/2019 7:58:58 pm","3/26/2019 7:59:02 pm","Completed","Location - Matched = 0, Created = 0, Updated = 0, Rejected = 0","Yes"
"Specific_Location","Business import","3/26/2019 7:58:01 pm","3/26/2019 7:58:14 pm","Completed","Location - Matched = 0, Created = 0, Updated = 0, Rejected = 0","No"
"Gathering business data","Business import","3/26/2019 7:58:01 pm","3/26/2019 7:58:02 pm","Completed","Business data saved as E:\ProgramData\Flexera Software\Beacon\IntermediateData\B[S=Specific_Location]_20190326195802.zip
File size: 162.48 KB","Yes"
"Uploading to Application Server","Business import","3/26/2019 7:58:03 pm","3/26/2019 7:58:03 pm","Completed","Uploaded B[S=Specific_Location]_20190326195802.zip successfully","No"
"Importing into application server","Business import","3/26/2019 7:58:08 pm","3/26/2019 7:58:13 pm","Completed","Location - Matched = 0, Created = 0, Updated = 0, Rejected = 0","Yes"
"FNMPDataWarehouse","Data warehouse export","3/26/2019 7:48:33 pm","3/26/2019 7:51:38 pm","Completed","Partial export of applications, licenses, installations, assets, discovery, inventory, purchases summary completed successfully","No"
"Exporting","Data warehouse export","3/26/2019 7:48:39 pm","3/26/2019 7:51:38 pm","Completed","Partial export of applications, licenses, installations, assets, discovery, inventory, purchases summary completed successfully","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 7:38:54 pm","3/26/2019 7:38:55 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 7:38:54 pm","3/26/2019 7:38:55 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 7:38:47 pm","3/26/2019 7:38:54 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 7:38:53 pm","3/26/2019 7:38:54 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 7:08:56 pm","3/26/2019 7:08:57 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 7:08:56 pm","3/26/2019 7:08:57 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 7:08:49 pm","3/26/2019 7:08:56 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 7:08:55 pm","3/26/2019 7:08:56 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 6:38:53 pm","3/26/2019 6:38:54 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 6:38:54 pm","3/26/2019 6:38:54 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 6:38:46 pm","3/26/2019 6:38:53 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 6:38:52 pm","3/26/2019 6:38:53 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 6:08:51 pm","3/26/2019 6:08:52 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 6:08:51 pm","3/26/2019 6:08:52 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 6:08:44 pm","3/26/2019 6:08:51 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 6:08:49 pm","3/26/2019 6:08:50 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 5:38:53 pm","3/26/2019 5:38:54 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 5:38:53 pm","3/26/2019 5:38:54 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 5:38:46 pm","3/26/2019 5:38:53 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 5:38:52 pm","3/26/2019 5:38:52 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 5:08:50 pm","3/26/2019 5:08:51 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 5:08:50 pm","3/26/2019 5:08:51 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 5:08:43 pm","3/26/2019 5:08:50 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 5:08:49 pm","3/26/2019 5:08:50 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 4:38:48 pm","3/26/2019 4:38:49 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 4:38:48 pm","3/26/2019 4:38:49 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 4:38:40 pm","3/26/2019 4:38:47 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 4:38:46 pm","3/26/2019 4:38:47 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 4:08:50 pm","3/26/2019 4:08:51 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 4:08:50 pm","3/26/2019 4:08:51 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 4:08:43 pm","3/26/2019 4:08:50 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 4:08:49 pm","3/26/2019 4:08:49 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 3:38:47 pm","3/26/2019 3:38:48 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 3:38:47 pm","3/26/2019 3:38:48 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 3:38:40 pm","3/26/2019 3:38:47 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 3:38:45 pm","3/26/2019 3:38:46 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 3:08:49 pm","3/26/2019 3:08:50 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 3:08:49 pm","3/26/2019 3:08:50 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 3:08:42 pm","3/26/2019 3:08:49 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 3:08:48 pm","3/26/2019 3:08:48 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 2:38:46 pm","3/26/2019 2:38:47 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 2:38:46 pm","3/26/2019 2:38:47 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 2:38:39 pm","3/26/2019 2:38:46 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 2:38:45 pm","3/26/2019 2:38:46 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 2:08:43 pm","3/26/2019 2:08:44 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 2:08:43 pm","3/26/2019 2:08:44 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 2:08:36 pm","3/26/2019 2:08:43 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 2:08:42 pm","3/26/2019 2:08:43 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 1:38:46 pm","3/26/2019 1:38:47 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 1:38:46 pm","3/26/2019 1:38:47 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 1:38:38 pm","3/26/2019 1:38:45 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 1:38:44 pm","3/26/2019 1:38:45 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 1:08:43 pm","3/26/2019 1:08:44 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 1:08:43 pm","3/26/2019 1:08:44 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 1:08:36 pm","3/26/2019 1:08:43 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 1:08:41 pm","3/26/2019 1:08:42 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 12:38:45 pm","3/26/2019 12:38:46 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 12:38:45 pm","3/26/2019 12:38:46 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 12:38:38 pm","3/26/2019 12:38:45 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 12:38:44 pm","3/26/2019 12:38:44 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 12:08:42 pm","3/26/2019 12:08:43 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 12:08:42 pm","3/26/2019 12:08:43 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 12:08:35 pm","3/26/2019 12:08:42 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 12:08:41 pm","3/26/2019 12:08:42 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 11:38:39 am","3/26/2019 11:38:40 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 11:38:39 am","3/26/2019 11:38:40 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 11:38:32 am","3/26/2019 11:38:39 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 11:38:38 am","3/26/2019 11:38:39 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 11:08:41 am","3/26/2019 11:08:42 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 11:08:41 am","3/26/2019 11:08:42 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 11:08:34 am","3/26/2019 11:08:41 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 11:08:40 am","3/26/2019 11:08:41 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 10:38:41 am","3/26/2019 10:38:42 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 10:38:41 am","3/26/2019 10:38:42 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 10:38:32 am","3/26/2019 10:38:41 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 10:38:39 am","3/26/2019 10:38:40 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 10:08:41 am","3/26/2019 10:08:42 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 10:08:41 am","3/26/2019 10:08:42 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 10:08:33 am","3/26/2019 10:08:40 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 10:08:39 am","3/26/2019 10:08:40 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 9:38:38 am","3/26/2019 9:38:39 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 9:38:38 am","3/26/2019 9:38:39 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 9:38:31 am","3/26/2019 9:38:38 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 9:38:37 am","3/26/2019 9:38:38 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 9:08:35 am","3/26/2019 9:08:36 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 9:08:35 am","3/26/2019 9:08:36 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 9:08:28 am","3/26/2019 9:08:35 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 9:08:34 am","3/26/2019 9:08:35 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 8:38:37 am","3/26/2019 8:38:38 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 8:38:37 am","3/26/2019 8:38:38 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 8:38:30 am","3/26/2019 8:38:37 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 8:38:36 am","3/26/2019 8:38:37 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 8:08:34 am","3/26/2019 8:08:35 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 8:08:34 am","3/26/2019 8:08:35 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 8:08:27 am","3/26/2019 8:08:34 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 8:08:33 am","3/26/2019 8:08:34 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 7:38:36 am","3/26/2019 7:38:38 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 7:38:36 am","3/26/2019 7:38:38 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 7:38:29 am","3/26/2019 7:38:36 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 7:38:35 am","3/26/2019 7:38:36 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 7:08:34 am","3/26/2019 7:08:35 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 7:08:34 am","3/26/2019 7:08:35 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 7:08:26 am","3/26/2019 7:08:33 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 7:08:32 am","3/26/2019 7:08:33 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 6:38:31 am","3/26/2019 6:38:32 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 6:38:31 am","3/26/2019 6:38:32 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 6:38:24 am","3/26/2019 6:38:31 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 6:38:30 am","3/26/2019 6:38:31 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 6:08:33 am","3/26/2019 6:08:34 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 6:08:33 am","3/26/2019 6:08:34 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 6:08:26 am","3/26/2019 6:08:33 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 6:08:32 am","3/26/2019 6:08:33 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 5:38:30 am","3/26/2019 5:38:31 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 5:38:30 am","3/26/2019 5:38:31 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 5:38:23 am","3/26/2019 5:38:30 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 5:38:29 am","3/26/2019 5:38:30 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/26/2019 5:08:32 am","3/26/2019 5:08:33 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/26/2019 5:08:32 am","3/26/2019 5:08:33 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/26/2019 5:08:25 am","3/26/2019 5:08:32 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/26/2019 5:08:31 am","3/26/2019 5:08:32 am","Completed","Import completed","Yes"
